Form,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
icomplete,2.632597539907311,2.18548796180731,2.0034044577691263,2.193137479144222,2.6858122874576718,2.904388691086416,2.0091314725770375,2.9043182809619466,2.751027925867266,3.4194796618133267,1.9392459452796842,3.4152525496371546
icomplete,2.6168245105152685,2.1724189976332715,1.9886478176182256,2.179781247766614,2.6648117141480316,2.882266360767843,1.979182442881252,2.8868842442283382,2.733043687888382,3.4041779283864986,1.925899874412881,3.398617822972703
icomplete,2.603772707241639,2.16218404082937,1.9764597514112523,2.1689844311726483,2.6492724247802815,2.8617195919525296,1.9542477579619375,2.8714768652372165,2.7186746679395903,3.3884780206274665,1.9088615867101437,3.3823572564229276
icomplete,2.5980979914685864,2.156694191964157,1.9714076328154762,2.161150287583567,2.6452953506177663,2.848271708945878,1.9459448577110638,2.8593086391602824,2.7155992461264358,3.3858787843290763,1.9023795979714295,3.379828997007806
icomplete,2.596573802175398,2.1540326798103,1.9691702639919944,2.15673189584868,2.644553786486884,2.8424464453959994,1.9421320559750148,2.8525782992529503,2.713366819696312,3.3854915443179063,1.8977524467561226,3.379389889281818
icomplete,2.58816243794134,2.1479192366283715,1.9611815545896825,2.149469993311853,2.6378020112705367,2.831802385491797,1.9355648589148515,2.842293443706013,2.7065048659100834,3.3777491009547034,1.8872027262035038,3.370554292089989
icomplete,2.5852676341384195,2.144669657040527,1.9593054170391209,2.1447664470462744,2.6355638888530954,2.8304084768537123,1.9338519761650697,2.8392465285683244,2.7064871083053643,3.378174651533466,1.8859550442415927,3.3699735493467613
icomplete,2.5909354868538323,2.150218353513546,1.9616403540837462,2.1512520254044443,2.6408160982068862,2.8372857558918696,1.9359773162330698,2.84590110813208,2.7131280628600485,3.3862063382204086,1.8897563952713592,3.3745129163670247
icomplete,2.5874305939682314,2.1490771717304877,1.9566233230341217,2.150456502124008,2.6369942674579656,2.833967752725836,1.9309658015572826,2.843805173870906,2.710456819603629,3.38239231674572,1.886717030744958,3.3695928552848864
icomplete,2.579821783813924,2.1454192475891354,1.9499257104750751,2.1478993684328933,2.629926330360383,2.8273541892452823,1.9232100299946644,2.8391353450555057,2.7043926534346983,3.376352216950767,1.88145989173064,3.3614813483048853
